pref_code,lg_code,metropolitan_area,city_area,pref_capital,city_type,pref_name,lg_name,total_pop,pop_2010,pop_increase_2010-2015,pop_increase_rate_2010-2015,area,pop_density,age_avg,age_mid,pop_sum,pop_u15,pop_15-64,pop_o65,pop_u15_ratio,pop_15-64_ratio,pop_o65_ratio,pop_sum_m,pop_u15_m,pop_15-64_m,pop_o65_m,pop_u15_ratio_m,pop_15-64_ratio_m,pop_o65_ratio_m,pop_sum_f,pop_u15_f,pop_15-64_f,pop_o65_f,pop_u15_ratio_f,pop_15-64_ratio_f,pop_o65_ratio_f,gender_ratio,japanese,foreigner,household_sum,household_general,household_facility,household_sum_2010,household_nuclear,household_spouses_only,household_parents_children,household_father_children,household_mother_children,household_single,household_single_o65,household_spouses_senior,household_three-generations
46,46525,,,,3,é≠éôìáåß,ê£åÀì‡í¨,9042,9874,-832,-8.4,240,38,53,57.1,9042,1093,4757,3189,12.1,52.6,35.3,4319,557,2485,1275,12.9,57.6,29.5,4723,536,2272,1914,11.4,48.1,40.5,91.4,9032,9,4413,4396,17,4677,2222,982,764,65,411,1924,1006,552,86
46,46527,,,,3,é≠éôìáåß,ó¥ãΩí¨,5806,6078,-272,-4.5,82,71,48.8,52.5,5806,929,3094,1779,16,53.3,30.7,2795,480,1552,759,17.2,55.6,27.2,3011,449,1542,1020,14.9,51.2,33.9,92.8,5794,12,2414,2406,8,2468,1478,589,617,43,229,785,382,345,64
46,46529,,,,3,é≠éôìáåß,äÏäEí¨,7212,8169,-957,-11.7,57,127,52.9,57.8,7212,908,3650,2647,12.6,50.7,36.7,3492,484,1908,1096,13.9,54.7,31.4,3720,424,1742,1551,11.4,46.9,41.7,93.9,7175,37,3363,3356,7,3634,1814,903,599,49,263,1291,691,522,113
46,46530,,,,3,é≠éôìáåß,ìøîVìáí¨,11160,12090,-930,-7.7,105,106,48.7,52.6,11160,1772,6076,3310,15.9,54.5,29.7,5465,934,3137,1394,17.1,57.4,25.5,5695,838,2939,1916,14.7,51.6,33.7,96,11117,43,4960,4939,21,5230,2797,1135,1092,76,494,1883,904,587,92
46,46531,,,,3,é≠éôìáåß,ìVèÈí¨,5975,6653,-678,-10.2,80,74,51.1,55.5,5975,858,3122,1995,14.4,52.3,33.4,2997,453,1698,846,15.1,56.7,28.2,2978,405,1424,1149,13.6,47.8,38.6,100.6,5945,30,2623,2615,8,2841,1572,678,596,48,250,885,488,390,63
46,46532,,,,3,é≠éôìáåß,à…êÂí¨,6362,6844,-482,-7,63,102,51.8,56.8,6362,965,3145,2251,15.2,49.4,35.4,3169,490,1686,992,15.5,53.2,31.3,3193,475,1459,1259,14.9,45.7,39.4,99.2,6349,13,2885,2880,5,3035,1658,795,572,45,246,1047,607,470,79
46,46533,,,,3,é≠éôìáåß,òaîëí¨,6783,7114,-331,-4.7,40,168,49.7,54.2,6783,1054,3603,2126,15.5,53.1,31.3,3307,538,1902,867,16.3,57.5,26.2,3476,516,1701,1259,14.8,48.9,36.2,95.1,6711,72,2909,2901,8,2909,1619,683,649,47,240,996,465,388,115
46,46534,,,,3,é≠éôìáåß,ímñºí¨,6213,6806,-593,-8.7,53,117,50.1,55.1,6213,923,3319,1971,14.9,53.4,31.7,3125,480,1774,871,15.4,56.8,27.9,3088,443,1545,1100,14.3,50,35.6,101.2,6160,53,2692,2680,12,2862,1563,698,604,49,212,912,402,388,94
46,46535,,,,3,é≠éôìáåß,ó^ò_í¨,5186,5327,-141,-2.6,21,252,50.4,54.6,5186,770,2795,1621,14.8,53.9,31.3,2509,377,1439,693,15,57.4,27.6,2677,393,1356,928,14.7,50.7,34.7,93.7,5173,13,2056,2050,6,2007,1161,450,498,34,179,621,264,223,136
47,47000,,,,4,â´ìÍåß,â´ìÍåß,1433566,1392818,40748,2.9,2281,628,42.1,42,1433566,247206,892109,278337,17.4,62.9,19.6,704619,126229,447136,122713,18.1,64.2,17.6,728947,120977,444973,155624,16.8,61.7,21.6,96.7,1410487,11020,560424,559215,1209,520191,327514,86079,170639,10546,60250,180974,51710,41009,25188
